. Semoga kedepan.ny semakin berkembang	5	positif	id	semoga kedepanny semakin berkembang	['semoga', 'kedepanny', 'semakin', 'berkembang']	['semoga', 'kedepannya', 'semakin', 'berkembang']	['semoga', 'kedepannya', 'berkembang']	['moga', 'depan', 'kembang']
Mempermudah keren	5	positif	id	mempermudah keren	['mempermudah', 'keren']	['mempermudah', 'keren']	['mempermudah', 'keren']	['mudah', 'keren']
Mempermudah membeli bbm	4	positif	id	mempermudah membeli bbm	['mempermudah', 'membeli', 'bbm']	['mempermudah', 'membeli', 'bbm']	['mempermudah', 'membeli', 'bbm']	['mudah', 'beli', 'bbm']
Mempermudah pembelian BBM	5	positif	id	mempermudah pembelian bbm	['mempermudah', 'pembelian', 'bbm']	['mempermudah', 'pembelian', 'bbm']	['mempermudah', 'pembelian', 'bbm']	['mudah', 'beli', 'bbm']
mempermudah proses transaksi khususnya dalam mendapatkan pembelian pertalit.	4	positif	id	mempermudah proses transaksi khususnya dalam mendapatkan pembelian pertalit	['mempermudah', 'proses', 'transaksi', 'khususnya', 'dalam', 'mendapatkan', 'pembelian', 'pertalit']	['mempermudah', 'proses', 'transaksi', 'khususnya', 'dalam', 'mendapatkan', 'pembelian', 'pertalit']	['mempermudah', 'proses', 'transaksi', 'pembelian', 'pertalit']	['mudah', 'proses', 'transaksi', 'beli', 'pertalit']
Mempermudah rekap pengeluaran	4	positif	id	mempermudah rekap pengeluaran	['mempermudah', 'rekap', 'pengeluaran']	['mempermudah', 'rekap', 'pengeluaran']	['mempermudah', 'rekap', 'pengeluaran']	['mudah', 'rekap', 'keluar']
Mempermudah transaksi	5	positif	id	mempermudah transaksi	['mempermudah', 'transaksi']	['mempermudah', 'transaksi']	['mempermudah', 'transaksi']	['mudah', 'transaksi']
mempersulit hidup	1	negatif	id	mempersulit hidup	['mempersulit', 'hidup']	['mempersulit', 'hidup']	['mempersulit', 'hidup']	['sulit', 'hidup']
mempersulit hidup rakyat kecil	1	negatif	id	mempersulit hidup rakyat kecil	['mempersulit', 'hidup', 'rakyat', 'kecil']	['mempersulit', 'hidup', 'rakyat', 'kecil']	['mempersulit', 'hidup', 'rakyat']	['sulit', 'hidup', 'rakyat']
Mempersulit masyarakat	1	negatif	id	mempersulit masyarakat	['mempersulit', 'masyarakat']	['mempersulit', 'masyarakat']	['mempersulit', 'masyarakat']	['sulit', 'masyarakat']
Mempersulit masyarakat sekali	1	negatif	id	mempersulit masyarakat sekali	['mempersulit', 'masyarakat', 'sekali']	['mempersulit', 'masyarakat', 'sekali']	['mempersulit', 'masyarakat']	['sulit', 'masyarakat']
mempersulit rakyat aja	1	negatif	id	mempersulit rakyat aja	['mempersulit', 'rakyat', 'aja']	['mempersulit', 'rakyat', 'saja']	['mempersulit', 'rakyat']	['sulit', 'rakyat']
Mempersulit. Pendaftaran kirim otp erorr.	2	negatif	id	mempersulit pendaftaran kirim otp erorr	['mempersulit', 'pendaftaran', 'kirim', 'otp', 'erorr']	['mempersulit', 'pendaftaran', 'kirim', 'otp', 'erorr']	['mempersulit', 'pendaftaran', 'kirim', 'otp', 'erorr']	['sulit', 'daftar', 'kirim', 'otp', 'erorr']
Memuaskan pelayanannyq	5	positif	id	memuaskan pelayanannyq	['memuaskan', 'pelayanannyq']	['puas', 'pelayanannyq']	['puas', 'pelayanannyq']	['puas', 'pelayanannyq']
Memudah kn dlam pengisian bbm	5	positif	id	memudah kn dlam pengisian bbm	['memudah', 'kn', 'dlam', 'pengisian', 'bbm']	['memudah', 'kan', 'dlam', 'pengisian', 'bbm']	['memudah', 'dlam', 'pengisian', 'bbm']	['mudah', 'dlam', 'isi', 'bbm']
Memudahkan pelayanan	5	positif	id	memudahkan pelayanan	['memudahkan', 'pelayanan']	['memudahkan', 'pelayanan']	['memudahkan', 'pelayanan']	['mudah', 'layan']
Memudahkan transaksi	5	positif	id	memudahkan transaksi	['memudahkan', 'transaksi']	['memudahkan', 'transaksi']	['memudahkan', 'transaksi']	['mudah', 'transaksi']
Memudahkan? Maksudnya merepotkan?	1	negatif	id	memudahkan maksudnya merepotkan	['memudahkan', 'maksudnya', 'merepotkan']	['memudahkan', 'maksudnya', 'merepotkan']	['memudahkan', 'maksudnya', 'merepotkan']	['mudah', 'maksud', 'repot']
Menarik	4	positif	id	menarik	['menarik']	['menarik']	['menarik']	['tarik']
Mencoba yang baru my pertamina	4	positif	id	mencoba yang baru my pertamina	['mencoba', 'yang', 'baru', 'my', 'pertamina']	['mencoba', 'yang', 'baru', 'my', 'pertamina']	['mencoba', 'my', 'pertamina']	['coba', 'my', 'pertamina']
Mendapatkan layanan yg baik...thanks My Pertamina	5	positif	id	mendapatkan layanan yg baikthanks my pertamina	['mendapatkan', 'layanan', 'yg', 'baikthanks', 'my', 'pertamina']	['mendapatkan', 'layanan', 'yang', 'baikthanks', 'my', 'pertamina']	['layanan', 'baikthanks', 'my', 'pertamina']	['layan', 'baikthanks', 'my', 'pertamina']
Menggunakan aplikasi ini ternyata banyak membantu untuk pembelian bensin, dan sangat mudah digunakan karena interface nya user friendly banget . tapi bisa tuh kalau di tingkatkan lagi metode pembayarannya kalau bisa di tambah e wallet.	5	positif	id	menggunakan aplikasi ini ternyata banyak membantu untuk pembelian bensin dan sangat mudah digunakan karena interface nya user friendly banget tapi bisa tuh kalau di tingkatkan lagi metode pembayarannya kalau bisa di tambah e wallet	['menggunakan', 'aplikasi', 'ini', 'ternyata', 'banyak', 'membantu', 'untuk', 'pembelian', 'bensin', 'dan', 'sangat', 'mudah', 'digunakan', 'karena', 'interface', 'nya', 'user', 'friendly', 'banget', 'tapi', 'bisa', 'tuh', 'kalau', 'di', 'tingkatkan', 'lagi', 'metode', 'pembayarannya', 'kalau', 'bisa', 'di', 'tambah', 'e', 'wallet']	['menggunakan', 'aplikasi', 'ini', 'ternyata', 'banyak', 'membantu', 'untuk', 'pembelian', 'bensin', 'dan', 'sangat', 'mudah', 'digunakan', 'karena', 'antarmuka', 'nya', 'pengguna', 'friendly', 'banget', 'tapi', 'bisa', 'tuh', 'kalau', 'di', 'tingkatkan', 'lagi', 'metode', 'pembayarannya', 'kalau', 'bisa', 'di', 'tambah', 'e', 'wallet']	['aplikasi', 'membantu', 'pembelian', 'bensin', 'mudah', 'antarmuka', 'pengguna', 'friendly', 'banget', 'tingkatkan', 'metode', 'pembayarannya', 'wallet']	['aplikasi', 'bantu', 'beli', 'bensin', 'mudah', 'antarmuka', 'guna', 'friendly', 'banget', 'tingkat', 'metode', 'bayar', 'wallet']
Mengharap dapat subsidi biosolar	4	positif	id	mengharap dapat subsidi biosolar	['mengharap', 'dapat', 'subsidi', 'biosolar']	['mengharap', 'dapat', 'subsidi', 'biosolar']	['mengharap', 'subsidi', 'biosolar']	['harap', 'subsidi', 'biosolar']
Menghubungkan ke link aja ngga bisa	2	negatif	id	menghubungkan ke link aja ngga bisa	['menghubungkan', 'ke', 'link', 'aja', 'ngga', 'bisa']	['menghubungkan', 'ke', 'link', 'saja', 'enggak', 'bisa']	['menghubungkan', 'link']	['hubung', 'link']
Mengikuti kebijakan saja menginsatal apikasi ini	4	positif	id	mengikuti kebijakan saja menginsatal apikasi ini	['mengikuti', 'kebijakan', 'saja', 'menginsatal', 'apikasi', 'ini']	['mengikuti', 'kebijakan', 'saja', 'menginsatal', 'apikasi', 'ini']	['mengikuti', 'kebijakan', 'menginsatal', 'apikasi']	['ikut', 'bijak', 'menginsatal', 'apikasi']
Menuju era dimana pasti kta akan menjadi negara yg maju..	5	positif	id	menuju era dimana pasti kta akan menjadi negara yg maju	['menuju', 'era', 'dimana', 'pasti', 'kta', 'akan', 'menjadi', 'negara', 'yg', 'maju']	['menuju', 'era', 'dimana', 'pasti', 'kita', 'akan', 'menjadi', 'negara', 'yang', 'maju']	['era', 'dimana', 'negara', 'maju']	['era', 'mana', 'negara', 'maju']
Menuju indonesia lebih baik	5	positif	id	menuju indonesia lebih baik	['menuju', 'indonesia', 'lebih', 'baik']	['menuju', 'indonesia', 'lebih', 'baik']	['indonesia']	['indonesia']
Menunggu verifikasi lambat bget.	2	negatif	id	menunggu verifikasi lambat bget	['menunggu', 'verifikasi', 'lambat', 'bget']	['menunggu', 'verifikasi', 'lambat', 'banget']	['menunggu', 'verifikasi', 'lambat', 'banget']	['tunggu', 'verifikasi', 'lambat', 'banget']
Menurut saya aplikasi ini sangat rekomended, fitur fiturnya juga gak ribet, mempermudah konsumen dalam pembelian bahan bakar, bisa dimana saja dan kapan saja,, juga sangat membantu karena dengan sistem e-wallet proses transaksi bisa dilaksanakan tanpa kontak langsung dan tidak perlu ribet bawa uang cash. Apalagi saat isi full dengan nominal yang tanggung, tidak mempersulit petugas untuk memberikan uang kembalian. Pokonya istimewa banget! Bismillah Komisaris	5	positif	id	menurut saya aplikasi ini sangat rekomended fitur fiturnya juga gak ribet mempermudah konsumen dalam pembelian bahan bakar bisa dimana saja dan kapan saja juga sangat membantu karena dengan sistem ewallet proses transaksi bisa dilaksanakan tanpa kontak langsung dan tidak perlu ribet bawa uang cash apalagi saat isi full dengan nominal yang tanggung tidak mempersulit petugas untuk memberikan uang kembalian pokonya istimewa banget bismillah komisaris	['menurut', 'saya', 'aplikasi', 'ini', 'sangat', 'rekomended', 'fitur', 'fiturnya', 'juga', 'gak', 'ribet', 'mempermudah', 'konsumen', 'dalam', 'pembelian', 'bahan', 'bakar', 'bisa', 'dimana', 'saja', 'dan', 'kapan', 'saja', 'juga', 'sangat', 'membantu', 'karena', 'dengan', 'sistem', 'ewallet', 'proses', 'transaksi', 'bisa', 'dilaksanakan', 'tanpa', 'kontak', 'langsung', 'dan', 'tidak', 'perlu', 'ribet', 'bawa', 'uang', 'cash', 'apalagi', 'saat', 'isi', 'full', 'dengan', 'nominal', 'yang', 'tanggung', 'tidak', 'mempersulit', 'petugas', 'untuk', 'memberikan', 'uang', 'kembalian', 'pokonya', 'istimewa', 'banget', 'bismillah', 'komisaris']	['menurut', 'saya', 'aplikasi', 'ini', 'sangat', 'rekomended', 'fitur', 'fiturnya', 'juga', 'enggak', 'ribet', 'mempermudah', 'konsumen', 'dalam', 'pembelian', 'bahan', 'bakar', 'bisa', 'dimana', 'saja', 'dan', 'kapan', 'saja', 'juga', 'sangat', 'membantu', 'karena', 'dengan', 'sistem', 'ewallet', 'proses', 'transaksi', 'bisa', 'dilaksanakan', 'tanpa', 'kontak', 'langsung', 'dan', 'tidak', 'perlu', 'ribet', 'bawa', 'uang', 'cash', 'apalagi', 'saat', 'isi', 'full', 'dengan', 'nominal', 'yang', 'tanggung', 'tidak', 'mempersulit', 'petugas', 'untuk', 'memberikan', 'uang', 'kembalian', 'pokoknya', 'istimewa', 'banget', 'bismillah', 'komisaris']	['aplikasi', 'rekomended', 'fitur', 'fiturnya', 'ribet', 'mempermudah', 'konsumen', 'pembelian', 'bahan', 'bakar', 'dimana', 'membantu', 'sistem', 'ewallet', 'proses', 'transaksi', 'dilaksanakan', 'kontak', 'langsung', 'ribet', 'bawa', 'uang', 'cash', 'isi', 'full', 'nominal', 'tanggung', 'mempersulit', 'petugas', 'uang', 'kembalian', 'pokoknya', 'istimewa', 'banget', 'bismillah', 'komisaris']	['aplikasi', 'rekomended', 'fitur', 'fiturnya', 'ribet', 'mudah', 'konsumen', 'beli', 'bahan', 'bakar', 'mana', 'bantu', 'sistem', 'ewallet', 'proses', 'transaksi', 'laksana', 'kontak', 'langsung', 'ribet', 'bawa', 'uang', 'cash', 'isi', 'full', 'nominal', 'tanggung', 'sulit', 'tugas', 'uang', 'kembali', 'pokok', 'istimewa', 'banget', 'bismillah', 'komisaris']
Menurut saya aplikasi my pertamina ini sudah bagus dan lengkap. Yang paling penting mudah digunakan alias ga ribet saat pemakaiannya, fiturnya juga disini komplit apalagi dengan pembayaran digital. Lebih efisien dan efektif sii, bagusðŸ‘	5	positif	id	menurut saya aplikasi my pertamina ini sudah bagus dan lengkap yang paling penting mudah digunakan alias ga ribet saat pemakaiannya fiturnya juga disini komplit apalagi dengan pembayaran digital lebih efisien dan efektif sii bagus 	['menurut', 'saya', 'aplikasi', 'my', 'pertamina', 'ini', 'sudah', 'bagus', 'dan', 'lengkap', 'yang', 'paling', 'penting', 'mudah', 'digunakan', 'alias', 'ga', 'ribet', 'saat', 'pemakaiannya', 'fiturnya', 'juga', 'disini', 'komplit', 'apalagi', 'dengan', 'pembayaran', 'digital', 'lebih', 'efisien', 'dan', 'efektif', 'sii', 'bagus', '']	['menurut', 'saya', 'aplikasi', 'my', 'pertamina', 'ini', 'sudah', 'bagus', 'dan', 'lengkap', 'yang', 'paling', 'penting', 'mudah', 'digunakan', 'alias', 'enggak', 'ribet', 'saat', 'pemakaiannya', 'fiturnya', 'juga', 'disini', 'komplit', 'apalagi', 'dengan', 'pembayaran', 'digital', 'lebih', 'efisien', 'dan', 'efektif', 'sih', 'bagus', '']	['aplikasi', 'my', 'pertamina', 'bagus', 'lengkap', 'mudah', 'alias', 'ribet', 'pemakaiannya', 'fiturnya', 'komplit', 'pembayaran', 'digital', 'efisien', 'efektif', 'bagus', '']	['aplikasi', 'my', 'pertamina', 'bagus', 'lengkap', 'mudah', 'alias', 'ribet', 'pakai', 'fiturnya', 'komplit', 'bayar', 'digital', 'efisien', 'efektif', 'bagus', '']
Menurut saya sejak pake aplikasi ini bagus sih,lebih praktis,yaa mungkin masyarakat butuh penyesuaian,tapi pasti kedepanya bakal kerasa kalo pake aplikasi lebih membantu dalam pembelian bensin karna kalo pake aplikasi ini kita jadi tau pengeluaran bulanan buat bensin dan cepetnya peningkatan pembayaran sampe struk keluar, terus juga yg pasti banyak bonus pointnya,oh iya kalo bisa tambahin pembayaran e-wallet dan tambahin speed apps,tengkyuuuuu	5	positif	id	menurut saya sejak pake aplikasi ini bagus sihlebih praktisyaa mungkin masyarakat butuh penyesuaiantapi pasti kedepanya bakal kerasa kalo pake aplikasi lebih membantu dalam pembelian bensin karna kalo pake aplikasi ini kita jadi tau pengeluaran bulanan buat bensin dan cepetnya peningkatan pembayaran sampe struk keluar terus juga yg pasti banyak bonus pointnyaoh iya kalo bisa tambahin pembayaran ewallet dan tambahin speed appstengkyuuuuu	['menurut', 'saya', 'sejak', 'pake', 'aplikasi', 'ini', 'bagus', 'sihlebih', 'praktisyaa', 'mungkin', 'masyarakat', 'butuh', 'penyesuaiantapi', 'pasti', 'kedepanya', 'bakal', 'kerasa', 'kalo', 'pake', 'aplikasi', 'lebih', 'membantu', 'dalam', 'pembelian', 'bensin', 'karna', 'kalo', 'pake', 'aplikasi', 'ini', 'kita', 'jadi', 'tau', 'pengeluaran', 'bulanan', 'buat', 'bensin', 'dan', 'cepetnya', 'peningkatan', 'pembayaran', 'sampe', 'struk', 'keluar', 'terus', 'juga', 'yg', 'pasti', 'banyak', 'bonus', 'pointnyaoh', 'iya', 'kalo', 'bisa', 'tambahin', 'pembayaran', 'ewallet', 'dan', 'tambahin', 'speed', 'appstengkyuuuuu']	['menurut', 'saya', 'sejak', 'pakai', 'aplikasi', 'ini', 'bagus', 'sihlebih', 'praktisyaa', 'mungkin', 'masyarakat', 'butuh', 'penyesuaiantapi', 'pasti', 'kedepanya', 'bakal', 'kerasa', 'kalo', 'pakai', 'aplikasi', 'lebih', 'membantu', 'dalam', 'pembelian', 'bensin', 'karena', 'kalo', 'pakai', 'aplikasi', 'ini', 'kita', 'jadi', 'tau', 'pengeluaran', 'bulanan', 'buat', 'bensin', 'dan', 'cepetnya', 'peningkatan', 'pembayaran', 'sampai', 'struk', 'keluar', 'terus', 'juga', 'yang', 'pasti', 'banyak', 'bonus', 'pointnyaoh', 'iya', 'kalo', 'bisa', 'tambahkan', 'pembayaran', 'ewallet', 'dan', 'tambahkan', 'speed', 'appstengkyuuuuu']	['pakai', 'aplikasi', 'bagus', 'sihlebih', 'praktisyaa', 'masyarakat', 'butuh', 'penyesuaiantapi', 'kedepanya', 'kerasa', 'pakai', 'aplikasi', 'membantu', 'pembelian', 'bensin', 'pakai', 'aplikasi', 'pengeluaran', 'bulanan', 'bensin', 'cepetnya', 'peningkatan', 'pembayaran', 'struk', 'bonus', 'pointnyaoh', 'iya', 'tambahkan', 'pembayaran', 'ewallet', 'tambahkan', 'speed', 'appstengkyuuuuu']	['pakai', 'aplikasi', 'bagus', 'sihlebih', 'praktisyaa', 'masyarakat', 'butuh', 'penyesuaiantapi', 'depa', 'rasa', 'pakai', 'aplikasi', 'bantu', 'beli', 'bensin', 'pakai', 'aplikasi', 'keluar', 'bulan', 'bensin', 'cepetnya', 'tingkat', 'bayar', 'struk', 'bonus', 'pointnyaoh', 'iya', 'tambah', 'bayar', 'ewallet', 'tambah', 'speed', 'appstengkyuuuuu']
Menyulitkan kami di desa	1	negatif	id	menyulitkan kami di desa	['menyulitkan', 'kami', 'di', 'desa']	['menyulitkan', 'kami', 'di', 'desa']	['menyulitkan', 'desa']	['sulit', 'desa']
Menyulitkan masyarakat secara umum	1	negatif	id	menyulitkan masyarakat secara umum	['menyulitkan', 'masyarakat', 'secara', 'umum']	['menyulitkan', 'masyarakat', 'secara', 'umum']	['menyulitkan', 'masyarakat']	['sulit', 'masyarakat']
Menyulitkan,,	1	negatif	id	menyulitkan	['menyulitkan']	['menyulitkan']	['menyulitkan']	['sulit']
menyusahain rakyat indonesia	1	negatif	id	menyusahain rakyat indonesia	['menyusahain', 'rakyat', 'indonesia']	['menyusahain', 'rakyat', 'indonesia']	['menyusahain', 'rakyat', 'indonesia']	['menyusahain', 'rakyat', 'indonesia']
Menyusahkan masyarakat kecil	1	negatif	id	menyusahkan masyarakat kecil	['menyusahkan', 'masyarakat', 'kecil']	['menyusahkan', 'masyarakat', 'kecil']	['menyusahkan', 'masyarakat']	['susah', 'masyarakat']
Menyusahkan masyarakat menengah kebawah tidak bijaksana dalam mengambil keputusan	1	negatif	id	menyusahkan masyarakat menengah kebawah tidak bijaksana dalam mengambil keputusan	['menyusahkan', 'masyarakat', 'menengah', 'kebawah', 'tidak', 'bijaksana', 'dalam', 'mengambil', 'keputusan']	['menyusahkan', 'masyarakat', 'menengah', 'kebawah', 'tidak', 'bijaksana', 'dalam', 'mengambil', 'keputusan']	['menyusahkan', 'masyarakat', 'menengah', 'kebawah', 'bijaksana', 'mengambil', 'keputusan']	['susah', 'masyarakat', 'tengah', 'bawah', 'bijaksana', 'ambil', 'putus']
Menyusahkan masyarakat,	2	negatif	id	menyusahkan masyarakat	['menyusahkan', 'masyarakat']	['menyusahkan', 'masyarakat']	['menyusahkan', 'masyarakat']	['susah', 'masyarakat']
Menyusahkan rakyat harga sdh mahal	2	negatif	id	menyusahkan rakyat harga sdh mahal	['menyusahkan', 'rakyat', 'harga', 'sdh', 'mahal']	['menyusahkan', 'rakyat', 'harga', 'sudah', 'mahal']	['menyusahkan', 'rakyat', 'harga', 'mahal']	['susah', 'rakyat', 'harga', 'mahal']
menyusahkan rakyat kecil	1	negatif	id	menyusahkan rakyat kecil	['menyusahkan', 'rakyat', 'kecil']	['menyusahkan', 'rakyat', 'kecil']	['menyusahkan', 'rakyat']	['susah', 'rakyat']
menyusahkan rakyat kecil	1	negatif	id	menyusahkan rakyat kecil	['menyusahkan', 'rakyat', 'kecil']	['menyusahkan', 'rakyat', 'kecil']	['menyusahkan', 'rakyat']	['susah', 'rakyat']
Metode pembayaran pake linkaja sama debit MANDIRI, BRI, BNI. Kalau pakai debit, kenapa BCA dan bank lain tidak ada ya? Sementara bintang 2 dah	2	negatif	id	metode pembayaran pake linkaja sama debit mandiri bri bni kalau pakai debit kenapa bca dan bank lain tidak ada ya sementara bintang dah	['metode', 'pembayaran', 'pake', 'linkaja', 'sama', 'debit', 'mandiri', 'bri', 'bni', 'kalau', 'pakai', 'debit', 'kenapa', 'bca', 'dan', 'bank', 'lain', 'tidak', 'ada', 'ya', 'sementara', 'bintang', 'dah']	['metode', 'pembayaran', 'pakai', 'linkaja', 'sama', 'debit', 'mandiri', 'bri', 'bni', 'kalau', 'pakai', 'debit', 'kenapa', 'bca', 'dan', 'bank', 'lain', 'tidak', 'ada', 'ya', 'sementara', 'bintang', 'deh']	['metode', 'pembayaran', 'pakai', 'linkaja', 'debit', 'mandiri', 'bri', 'bni', 'pakai', 'debit', 'bca', 'bank', 'bintang', 'deh']	['metode', 'bayar', 'pakai', 'linkaja', 'debit', 'mandiri', 'bri', 'bni', 'pakai', 'debit', 'bca', 'bank', 'bintang', 'deh']
Metode pembayaran tidak bisa dgn credit card	2	negatif	id	metode pembayaran tidak bisa dgn credit card	['metode', 'pembayaran', 'tidak', 'bisa', 'dgn', 'credit', 'card']	['metode', 'pembayaran', 'tidak', 'bisa', 'dengan', 'credit', 'card']	['metode', 'pembayaran', 'credit', 'card']	['metode', 'bayar', 'credit', 'card']
MINIMAL DI KEK I PILIHAN KENDARAAN TIPE YAMAHA BOSS	2	negatif	id	minimal di kek i pilihan kendaraan tipe yamaha boss	['minimal', 'di', 'kek', 'i', 'pilihan', 'kendaraan', 'tipe', 'yamaha', 'boss']	['minimal', 'di', 'kayak', 'i', 'pilihan', 'kendaraan', 'tipe', 'yamaha', 'bos']	['minimal', 'kayak', 'pilihan', 'kendaraan', 'tipe', 'yamaha', 'bos']	['minimal', 'kayak', 'pilih', 'kendara', 'tipe', 'yamaha', 'bos']
Minimal jangan nyusahin	1	negatif	id	minimal jangan nyusahin	['minimal', 'jangan', 'nyusahin']	['minimal', 'jangan', 'nyusahin']	['minimal', 'nyusahin']	['minimal', 'nyusahin']
Minta bantuan bos	5	positif	id	minta bantuan bos	['minta', 'bantuan', 'bos']	['meminta', 'bantuan', 'bos']	['bantuan', 'bos']	['bantu', 'bos']
Minta tolong saya sudah daftar kok balesannya ...kendaraan anda di tolak..padahal data sudah di isi semua	2	negatif	id	minta tolong saya sudah daftar kok balesannya kendaraan anda di tolakpadahal data sudah di isi semua	['minta', 'tolong', 'saya', 'sudah', 'daftar', 'kok', 'balesannya', 'kendaraan', 'anda', 'di', 'tolakpadahal', 'data', 'sudah', 'di', 'isi', 'semua']	['meminta', 'tolong', 'saya', 'sudah', 'daftar', 'kok', 'balesannya', 'kendaraan', 'anda', 'di', 'tolakpadahal', 'data', 'sudah', 'di', 'isi', 'semua']	['tolong', 'daftar', 'balesannya', 'kendaraan', 'tolakpadahal', 'data', 'isi']	['tolong', 'daftar', 'balesannya', 'kendara', 'tolakpadahal', 'data', 'isi']
Minus proses verifikasi yg lumayan lama	4	positif	id	minus proses verifikasi yg lumayan lama	['minus', 'proses', 'verifikasi', 'yg', 'lumayan', 'lama']	['minus', 'proses', 'verifikasi', 'yang', 'lumayan', 'lama']	['minus', 'proses', 'verifikasi', 'lumayan']	['minus', 'proses', 'verifikasi', 'lumayan']
Misal ada menu stok d masing2 spbu mngkin lbh bagus,apalagi d daerah2 yg notabene sering antri2,thk	2	negatif	id	misal ada menu stok d masing spbu mngkin lbh bagusapalagi d daerah yg notabene sering antrithk	['misal', 'ada', 'menu', 'stok', 'd', 'masing', 'spbu', 'mngkin', 'lbh', 'bagusapalagi', 'd', 'daerah', 'yg', 'notabene', 'sering', 'antrithk']	['misal', 'ada', 'menu', 'stok', 'di', 'masing', 'spbu', 'mungkin', 'lebih', 'bagusapalagi', 'di', 'daerah', 'yang', 'notabene', 'sering', 'antrithk']	['menu', 'stok', 'spbu', 'bagusapalagi', 'daerah', 'notabene', 'antrithk']	['menu', 'stok', 'spbu', 'bagusapalagi', 'daerah', 'notabene', 'antrithk']
Mobil ane daftar nya pertalite yang keluar malah nopol bio solar hadehh	2	negatif	id	mobil ane daftar nya pertalite yang keluar malah nopol bio solar hadehh	['mobil', 'ane', 'daftar', 'nya', 'pertalite', 'yang', 'keluar', 'malah', 'nopol', 'bio', 'solar', 'hadehh']	['mobil', 'ane', 'daftar', 'nya', 'pertalite', 'yang', 'keluar', 'malah', 'nopol', 'bio', 'solar', 'hadehh']	['mobil', 'ane', 'daftar', 'pertalite', 'nopol', 'bio', 'solar', 'hadehh']	['mobil', 'ane', 'daftar', 'pertalite', 'nopol', 'bio', 'solar', 'hadehh']
Moga2 berkah aplikasi ini,,,	4	positif	id	moga berkah aplikasi ini	['moga', 'berkah', 'aplikasi', 'ini']	['moga', 'berkah', 'aplikasi', 'ini']	['moga', 'berkah', 'aplikasi']	['moga', 'berkah', 'aplikasi']
Mohon di pahami mind lebih baik verifikasi nomor menggunakan whatsapp karna lebih mudah	2	negatif	id	mohon di pahami mind lebih baik verifikasi nomor menggunakan whatsapp karna lebih mudah	['mohon', 'di', 'pahami', 'mind', 'lebih', 'baik', 'verifikasi', 'nomor', 'menggunakan', 'whatsapp', 'karna', 'lebih', 'mudah']	['mohon', 'di', 'pahami', 'mind', 'lebih', 'baik', 'verifikasi', 'nomor', 'menggunakan', 'whatsapp', 'karena', 'lebih', 'mudah']	['mohon', 'pahami', 'mind', 'verifikasi', 'nomor', 'whatsapp', 'mudah']	['mohon', 'paham', 'mind', 'verifikasi', 'nomor', 'whatsapp', 'mudah']
Mohon di perbaiki. Dikarenakan untuk mendaftar lokasi kelurahan tidak lengkap.	2	negatif	id	mohon di perbaiki dikarenakan untuk mendaftar lokasi kelurahan tidak lengkap	['mohon', 'di', 'perbaiki', 'dikarenakan', 'untuk', 'mendaftar', 'lokasi', 'kelurahan', 'tidak', 'lengkap']	['mohon', 'di', 'perbaiki', 'dikarenakan', 'untuk', 'mendaftar', 'lokasi', 'kelurahan', 'tidak', 'lengkap']	['mohon', 'perbaiki', 'mendaftar', 'lokasi', 'kelurahan', 'lengkap']	['mohon', 'baik', 'daftar', 'lokasi', 'lurah', 'lengkap']
Mohon diperbaiki lagi sistemnya, masa mobil pake bahan bakar bensin terdaftarnya bio solar	2	negatif	id	mohon diperbaiki lagi sistemnya masa mobil pake bahan bakar bensin terdaftarnya bio solar	['mohon', 'diperbaiki', 'lagi', 'sistemnya', 'masa', 'mobil', 'pake', 'bahan', 'bakar', 'bensin', 'terdaftarnya', 'bio', 'solar']	['mohon', 'diperbaiki', 'lagi', 'sistemnya', 'masa', 'mobil', 'pakai', 'bahan', 'bakar', 'bensin', 'terdaftarnya', 'bio', 'solar']	['mohon', 'diperbaiki', 'sistemnya', 'mobil', 'pakai', 'bahan', 'bakar', 'bensin', 'terdaftarnya', 'bio', 'solar']	['mohon', 'baik', 'sistem', 'mobil', 'pakai', 'bahan', 'bakar', 'bensin', 'daftar', 'bio', 'solar']
Mohon ditambah update ketersediaan BBM setiap area SPBU	2	negatif	id	mohon ditambah update ketersediaan bbm setiap area spbu	['mohon', 'ditambah', 'update', 'ketersediaan', 'bbm', 'setiap', 'area', 'spbu']	['mohon', 'ditambah', 'update', 'ketersediaan', 'bbm', 'setiap', 'area', 'spbu']	['mohon', 'ditambah', 'update', 'ketersediaan', 'bbm', 'area', 'spbu']	['mohon', 'tambah', 'update', 'sedia', 'bbm', 'area', 'spbu']
Mohon ditinjau ulang kebijakannya	2	negatif	id	mohon ditinjau ulang kebijakannya	['mohon', 'ditinjau', 'ulang', 'kebijakannya']	['mohon', 'ditinjau', 'ulang', 'kebijakannya']	['mohon', 'ditinjau', 'ulang', 'kebijakannya']	['mohon', 'tinjau', 'ulang', 'bijak']
